Sample	Tea	Blackberry	Age	Year	State
B1_21_2023_S	Black	N	21	2023	S
B1B_21_2023_S	Black	Y	21	2023	S
B2_21_2023_S	Black	N	21	2023	S
B2B_21_2023_S	Black	Y	21	2023	S
Blackberry	NA	Y	21	2023	S
IS_2023_S	NA	NA	21	2023	IS
LS_2023_S	NA	NA	21	2023	LS
W1_21_2023_S	White	N	21	2023	S
W1B_21_2023_S	White	Y	21	2023	S
W2_21_2023_S	White	N	21	2023	S
W2B_21_2023_S	White	Y	21	2023	S
